"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(NO2)";"s(TEMP)";"s(UR)";"s(VV)"
"worst";0,999812558420715;0,28900314225151;0,921825768242135;0,989183760389201;0,985264954424628;0,908449677014118;0,996929135814797
"observed";0,999812558420715;0,288386521975379;0,532210663071296;0,976361100054694;0,983236340438298;0,848810181210627;0,99381004222501
"estimate";0,999812558420715;0,226500373598174;0,490135222984673;0,596910427939365;0,564628502317668;0,654790876407974;0,771285528051438
