"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(MP25)";"s(NO2)"
"worst";0,929274327508842;0,198188983085403;0,759789710158334;0,765054082940013;0,89819658815075
"observed";0,929274327508843;0,0823231052030765;0,247200396042697;0,668878115660251;0,819079813311714
"estimate";0,929274327508842;0,079736883495885;0,295925109709551;0,382025120789625;0,419682999844661
