"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(O3)"
"worst";0,900012162730726;0,190955326652015;0,758739641382305;0,865873504231707
"observed";0,900012162730726;0,0841828154393847;0,681905678113874;0,833231991338853
"estimate";0,900012162730726;0,106413881147463;0,319444903014359;0,435822794696258
