"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(O3)";"s(TEMP)";"s(UR)";"s(VV)"
"worst";0,999910104649171;0,271613990944958;0,911348749635107;0,998642608994707;0,983539727413863;0,991485286045369;0,926723660099287
"observed";0,999910104649171;0,192968269909134;0,587307876702342;0,997735713809845;0,981880525567223;0,987690549006514;0,88642340580782
"estimate";0,99991010464917;0,205570012777181;0,5692578824294;0,604905883702739;0,592792661999207;0,64887204308156;0,751458051712334
