"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(MP25)";"s(NO2)";"s(O3)";"s(UR)";"s(VV)"
"worst";0,999713999293978;0,392445635892508;0,840876134617021;0,972147287983433;0,981902034228583;0,78530410822641;0,97929917239271;0,996981987083817
"observed";0,999713999293978;0,208380002055668;0,591323666549074;0,965100945027204;0,96601041801405;0,565495191651898;0,954067941528649;0,995108900302193
"estimate";0,999713999293978;0,14882071085521;0,470895093941804;0,520107696869231;0,502385859227789;0,458734915420348;0,612789484199712;0,644375526396853
