"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(O3)";"s(TEMP)";"s(VV)"
"worst";0,933045846905079;0,275930115959913;0,835417728378358;0,72230796643599;0,880011901036282;0,900236222486287
"observed";0,933045846905078;0,0581482335991711;0,759972061358602;0,702376978990074;0,8686696603788;0,607848192051863
"estimate";0,933045846905078;0,0905222715526334;0,462116770692008;0,427298722874973;0,528216541504113;0,564689487233037
