"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(NO2)";"s(O3)";"s(TEMP)";"s(UR)";"s(VV)"
"worst";0,999690642361537;0,311705569265263;0,929697625173325;0,987051714788087;0,962603009591664;0,980362517167262;0,920035342040671;0,994891484480359
"observed";0,999690642361537;0,214344088775734;0,809243443303524;0,974807559578866;0,958698336557433;0,967856559392063;0,916991277374617;0,970296141717092
"estimate";0,999690642361537;0,251189085229529;0,593630578946106;0,612123494620864;0,60657810556047;0,614185674062344;0,686848895582011;0,777114618367445
