"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(MP25)";"s(O3)";"s(TEMP)";"s(VV)"
"worst";0,998727233360528;0,29114185999069;0,926509555800347;0,971060288933238;0,978571685059186;0,901766725237917;0,982916357666436
"observed";0,998727233360528;0,16264242090302;0,578382603591597;0,964751326560294;0,960056800678683;0,828056595404501;0,977467166242146
"estimate";0,998727233360528;0,123044273464607;0,535495055380462;0,448540060158067;0,536535802386919;0,54606768111566;0,678465648945343
