"Tipo_Estimativa";"para";"s(t)";"s(mes)";"s(MP25)";"s(NO2)";"s(TEMP)";"s(UR)";"s(VV)"
"worst";0,999813917832745;0,348702170610679;0,934117557873198;0,895931883520908;0,989582989143625;0,985493246062452;0,925331536364153;0,996979964438207
"observed";0,999813917832745;0,241986002444758;0,864450883159182;0,877157690692975;0,989076980994846;0,967134487746358;0,918626703718632;0,995787673218638
"estimate";0,999813917832745;0,257684282066958;0,520635819564851;0,546251602951163;0,622626411169591;0,573977613588315;0,699583218719284;0,780758005071436
