"Termo";"Estimate";"Exponencial_RR_OR";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";0,121078790100961;1,12871384034141;0,0235975146359463;5,13099756346886;3,72252443727979e-07
"municipioGuarulhos";-0,696746192122046;0,4982037285587;0,0335947660609561;-20,7397244814217;4,46216955805239e-75
"municipioPiracicaba";-0,33194506315221;0,717526740429019;0,0309256843668089;-10,733636779546;5,18241654995913e-25
"municipioRibeirao Preto";-0,134939420628503;0,873768842452071;0,0326560753855954;-4,13213832449765;4,02229795492884e-05
"municipioSantos";-0,17857370670196;0,836462401720277;0,0457140424289659;-3,90632062302173;0,000102655407750908
"municipioSao Bernardo do Campo";-0,611737438846454;0,542407649797496;0,0349355524370457;-17,510455572409;2,41248320317477e-57
"municipioSao Jose dos Campos";-0,53849494373358;0,583625981633246;0,0344265168688019;-15,6418654197798;1,29783857467088e-47
"municipioSao Paulo";-0,527995120780342;0,589786235302423;0,0335348058368738;-15,7446899602972;3,89658865783485e-48
"municipioTaubate";-0,250297508909026;0,778569117363099;0,0333304576577112;-7,50957312016141;1,78339069063294e-13
