"edf";"Ref.df";"F";"p-value";"Termo"
5,6655;6,4287;14,4239426322585;2,90877939666578e-16;"s(t)"
3,9123;4;86,017125;3,08029544654839e-66;"s(mes)"
1;1;12,9454;0,00034272417747064;"s(MP25)"
1,0001;1,0002;10,2041591681664;0,00146183710666348;"s(O3)"
3,6218;3,9178;5,94348869263362;0,000127739435675356;"s(TEMP)"
1,0002;1,0003;18,9080275917225;1,56744773214969e-05;"s(VV)"
