"edf";"Ref.df";"F";"p-value";"Termo"
2,2497;2,5863;2,71391563237057;0,0543311689858392;"s(t)"
1,2977;4;1,33205;0,0440412887666577;"s(mes)"
1,4247;0,9997;10,6081824547364;0,00129801819256133;"s(O3)"
0,8554;0,9781;7,20069522543707;0,00851468924096063;"s(TEMP)"
0,6117;0,9845;8,6798374809548;0,00381077592127916;"s(UR)"
0,9838;0,995;2,92753768844221;0,089234305045031;"s(VV)"
