"Termo";"Estimate";"Exponencial_RR_OR";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";-2,22529592059422;0,108035443991303;0,0696445716939246;-31,9521804279879;4,45070329909824e-86
"municipioGuarulhos";0,626750422853698;1,87151904165743;0,0892613965352347;7,02151710797283;2,50589654193985e-11
"municipioPiracicaba";0,0900043246954443;1,09417901568598;0,0970129505702537;0,927755770403726;0,354517226926827
"municipioRibeirao Preto";0,290171359204302;1,33665651679896;0,0954260404263867;3,04079848548411;0,00263599300535011
"municipioSantos";0,567695354014896;1,76419651424833;0,090007636032569;6,30719102332026;1,46315566954885e-09
"municipioSao Bernardo do Campo";-0,0895389852238451;0,914352618187964;0,100586227723834;-0,890171420581352;0,374313955191965
"municipioSao Jose dos Campos";0,739792132776209;2,09549988347599;0,0879681781607131;8,40976985364695;4,53376243245622e-15
"municipioSao Paulo";0,107644676783778;1,11365196867704;0,0966805918017122;1,11340523240231;0,26670909569477
"municipioTaubate";0,357062985788052;1,429125881639;0,0926504979221881;3,85387012261854;0,000151269932116483
