"edf";"Ref.df";"F";"p-value";"Termo"
4,3313;5,1753;3,10387803605588;0,00819291356099669;"s(t)"
3,829;4;21,766075;2,94924130192566e-17;"s(mes)"
1,001;1,002;0,499001996007984;0,480404529300705;"s(MP25)"
2,0649;2,3736;7,28538928210313;0,000398837875253264;"s(NO2)"
