"edf";"Ref.df";"F";"p-value";"Termo"
2,4127;2,9707;5,03571548793214;0,00195829850707876;"s(t)"
3,6491;4;8,5962;6,68918265795475e-07;"s(mes)"
0,9941;1,0005;0,642378810594703;0,423122908853339;"s(MP25)"
1,0518;0,9993;7,34354047833483;0,00691073703627104;"s(NO2)"
1,0404;1,0017;1,40561046221424;0,236123296198989;"s(O3)"
3,6602;3,9348;3,66778489376843;0,00614925055621343;"s(UR)"
2,794;3,0043;1,97313850148121;0,116517589045224;"s(VV)"
