"edf";"Ref.df";"F";"p-value";"Termo"
2,0878;2,4307;5,62735014604846;0,00250475769653709;"s(t)"
0,001;4;5e-04;0,300308099382503;"s(mes)"
1,5126;1,6665;2,7968796879688;0,071991002803164;"s(MP25)"
1,1927;0,9976;6,74338412189254;0,0101132391181782;"s(NO2)"
1,6988;2,3006;2,62744501434408;0,0664844060871449;"s(TEMP)"
1,9847;2,5737;4,35998756653845;0,00853093279455745;"s(UR)"
1,5079;1,829;3,20459267359213;0,0471551928432695;"s(VV)"
