"Variavel";"Amplitude_RR_IQR_Com_Sinal";"RR_IQR_25_75"
"NO2";0,1558;1,1699
"TEMP";0,6028;1,7995
"UR";-0,1327;0,8759
"VV";0,6668;1,8542
"NO2:VV";-0,1833;0,7555
"VV:TEMP";-0,0776;0,4146
