"Variavel";"Amplitude_RR_IQR_Com_Sinal";"RR_IQR_25_75"
"MP25";0,0259;1,0263
"NO2";0,1285;1,1384
"O3";0,0211;1,0213
"UR";0,1035;1,1089
"VV";0,2321;1,2604
"MP25:NO2";-0,0602;0,9377
"UR:VV";-0,144;0,7331
