"Variavel";"Amplitude_RR_IQR_Com_Sinal";"RR_IQR_25_75"
"NO2";0,2241;1,2508
"O3";0,0107;1,0107
"TEMP";0,3455;1,4074
"UR";-0,1672;0,8499
"VV";0,2146;1,2342
"NO2:O3";-0,1176;0,8593
"TEMP:VV";-0,1196;0,5761
