"Variavel";"Amplitude_RR_IQR_Com_Sinal";"RR_IQR_25_75"
"MP25";0,1083;1,1152
"O3";0,0984;1,1037
"TEMP";-0,1022;0,9029
"VV";0,1426;1,1527
"MP25:VV";-0,111;0,8724
"VV:O3";-0,094;0,8929
