"Variavel";"Amplitude_RR_IQR_Com_Sinal";"RR_IQR_25_75"
"O3";1,5362;4,6778
"TEMP";0,4483;1,5638
"UR";0,4054;1,4951
"VV";-0,0916;0,9121
"O3:TEMP";-0,1218;0,3226
"O3:UR";-0,0539;0,4073
