"Variavel";"Amplitude_RR_IQR_Com_Sinal";"RR_IQR_25_75"
"NO2";0,1081;1,1148
"O3";0,4047;1,5082
"TEMP";0,2419;1,2737
"UR";0,0146;1,0013
"NO2:O3";-0,0461;0,9509
"O3:TEMP";-0,1727;0,5761
